Город;id вуза;Аббревиатура;Крупное направление;Направление подготовки;id профиля;Профиль;Факультет;Есть набор в 2020 году;2020 очная Прох.балл Бюджет 1 волна;2020 очная Прох.балл Бюджет 2 волна;2020 очная Прох.балл Платно ;2020 очная Число мест Бюджет;2020 очная Число мест Платно;2020 очная Конкурс Бюджет ;2020 очная Конкурс Платно ;2020 очная Срок;2020 очная Стоимость;2020 очно-заочная Прох.балл Бюджет ;2020 очно-заочная Число мест Бюджет;2020 очно-заочная Число мест Платно;2020 очно-заочная Срок;2020 очно-заочная Стоимость;2020 заочная Прох.балл Бюджет ;2020 заочная Число мест Бюджет;2020 заочная Число мест Платно;2020 заочная Срок;2020 заочная Стоимость;2019 очная Прох.балл Бюджет 1 волна;2019 очная Прох.балл Бюджет 2 волна;2019 очная Прох.балл Платно;2019 очная Число мест Бюджет;2019 очная Число мест Платно;2019 очная Конкурс Бюджет;2019 очная Конкурс Платно;2019 очная Срок;2019 очная Стоимость;2019 очно-заочная Прох.балл Бюджет;2019 очно-заочная Число мест Бюджет;2019 очно-заочная Число мест Платно;2019 очно-заочная Срок;2019 очно-заочная Стоимость;2019 заочная Прох.балл Бюджет;2019 заочная Число мест Бюджет;2019 заочная Число мест Платно;2019 заочная Срок;2019 заочная Стоимость;2018 очная Прох.балл Бюджет 1 волна;2018 очная Прох.балл Бюджет 2 волна;2018 очная Прох.балл Платно;2018 очная Число мест Бюджет;2018 очная Число мест Платно;2018 очная Конкурс Бюджет;2018 очная Конкурс Платно;2018 очная Срок;2018 очная Стоимость;2018 очно-заочная Прох.балл Бюджет;2018 очно-заочная Число мест Бюджет;2018 очно-заочная Число мест Платно;2018 очно-заочная Срок;2018 очно-заочная Стоимость;2018 заочная Прох.балл Бюджет;2018 заочная Число мест Бюджет;2018 заочная Число мест Платно;2018 заочная Срок;2018 заочная Стоимость;2017 очная Прох.балл Бюджет 1 волна;2017 очная Прох.балл Бюджет 2 волна;2017 очная Прох.балл Платно;2017 очная Число мест Бюджет;2017 очная Число мест Платно;2017 очная Конкурс Бюджет;2017 очная Конкурс Платно;2017 очная Срок;2017 очная Стоимость;2017 очно-заочная Прох.балл Бюджет;2017 очно-заочная Число мест Бюджет;2017 очно-заочная Число мест Платно;2017 очно-заочная Срок;2017 очно-заочная Стоимость;2017 заочная Прох.балл Бюджет;2017 заочная Число мест Бюджет;2017 заочная Число мест Платно;2017 заочная Срок;2017 заочная Стоимость;2016 очная Прох.балл Бюджет 1 волна;2016 очная Прох.балл Бюджет 2 волна;2016 очная Прох.балл Платно;2016 очная Число мест Бюджет;2016 очная Число мест Платно;2016 очная Конкурс Бюджет;2016 очная Конкурс Платно;2016 очная Срок;2016 очная Стоимость;2016 очно-заочная Прох.балл Бюджет;2016 очно-заочная Число мест Бюджет;2016 очно-заочная Число мест Платно;2016 очно-заочная Срок;2016 очно-заочная Стоимость;2016 заочная Прох.балл Бюджет;2016 заочная Число мест Бюджет;2016 заочная Число мест Платно;2016 заочная Срок;2016 заочная Стоимость;Содержание программы;Профессии;Адрес обучения по данному профилю;Min балл Мат;Min балл Рус;Min балл Общ;Min балл Физ;Min балл Био;Min балл Ист;Min балл Иняз;Min балл Хим;Min балл Лит;Min балл Инф;Min балл Гео;Мат;Рус;Общ;Физ;Био;Ист;Иняз;Хим;Лит;Инф;Гео;ДВИ1;ДВИ2;ДВИ3;ДВИ4;ДВИ5;ДВИ6;ДВИ7;Золотая медаль;Значок ГТО;Перечневая олимпиада;Волонтерство;Итоговое сочинение;КОНЕЦ ТАБЛИЦЫ
г. Санкт-Петербург;0774;ВШМ СПбГУ;Экономика и управление;38.03.04 Государственное и муниципальное управление;209328;Государственное и муниципальное управление;Институт «Высшая школа менеджмента»;Да;;;;10;10;;;4;;;0;0;;;;0;0;;;270;267;218;15;5;48,13;32,8;4; 345 400    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Программа «Государственное и муниципальное управление» готовит специалистов в области управления государством, взаимодействия власти и бизнеса, а также руководителей организаций общественного сектора.

Выпускники программы обладают всеми необходимыми компетенциями для быстрого карьерного роста в органах государственной и муниципальной власти, государственных и частных организациях, а также для поступления на магистерские программы ведущих международных вузов.

Это наилучший выбор для тех, кто хочет работать не только ради своей карьеры и благополучия, но и стремится способствовать развитию общества и повышению качества жизни всех граждан России.";"Государственный служащий; государственный инспектор; HR-специалист; лоббист; менеджер по работе с таможней";г. Санкт-Петербург, Волховский пер., д. 4;55;55;55;;;;;;;;;2;1;1;0;0;0;0;0;0;0;0;;;;;;;;3;1;4;0;0;
г. Санкт-Петербург;0774;ВШМ СПбГУ;Экономика и управление;38.03.02 Менеджмент;209327;Международный менеджмент (с изучением европейских и восточных языков);Институт «Высшая школа менеджмента»;Да;;;;0;40;;;4;;;0;0;;;;0;0;;;Набора не было;Набора не было;220;0;30;;7,03;4; 506 000    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Все дисциплины в рамках программы «Международный менеджмент» преподаются на английском языке. Каждый предмет изучается в международном контексте и с учетом особенностей бизнеса в разных странах. Благодаря полученным знаниям вы станете узкоспециализированным специалистом, способным управлять международными операциями в компаниях по всему миру.;"Difital-стратег; pr-менеджер; коммерческий агент; администратор; аналитик; антикризисный управляющий; бизнес-консультант; инновационный менеджер";г. Санкт-Петербург, Волховский пер., д. 4;55;55;;;;;70;;;;;2;1;0;0;0;0;1;0;0;0;0;;;;;;;;3;1;4;0;0;
г. Санкт-Петербург;0774;ВШМ СПбГУ;Экономика и управление;38.03.02 Менеджмент;209326;Менеджмент;Институт «Высшая школа менеджмента»;Да;;;;67;75;;;4;;;0;0;;;;0;0;;;276;273;201;70;80;16,47;6,29;4; 446 700    ;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;290;Набора не было;290;;;;;;;;;;;;;;;;;;313;;;;;;;;;;;;;;;;;;"Программа «Менеджмент» подойдет тем, кто хочет построить карьеру в различных подразделениях российских и международных компаний. В ВШМ СПбГУ вы сможете подобрать себе индивидуальный набор курсов, выбрав учебные дисциплины с акцентом на разные функциональные области менеджмента: маркетинг, финансовый менеджмент, информационный менеджмент, логистику или управление человеческими ресурсами.

Лекции, семинары и мастер-классы будут проводить не только преподаватели — эксперты в своей области, но и практики — топ-менеджеры ведущих компаний и владельцы стартапов. Благодаря сочетанию лекционных и практических занятий, у вас сформируется необходимая база знаний и разовьются аналитические и коммуникативные навыки. Кроме того, обучение на программе «Менеджмент» ВШМ СПбГУ позволит вам стать членом дружного сообщества успешных студентов, выпускников, партнёров и друзей Школы.

";"Difital-стратег; pr-менеджер; коммерческий агент; администратор; аналитик; антикризисный управляющий; бизнес-консультант; инновационный менеджер";г. Санкт-Петербург, Волховский пер., д. 4;55;55;;;;;55;;;;;2;1;0;0;0;0;1;0;0;0;0;;;;;;;;3;1;4;0;0;
г. Санкт-Петербург;0012;СПбГУ;Музыкальное искусство и пение;53.03.03 Вокальное искусство;200439;Академическое пение;Факультет искусств;Да;;;;0;5;;;5;;;0;0;;;;0;0;;;Набора не было;Набора не было;352;0;5;;1,2;5;267 400;Набора не было;0;0;;;Набора не было;0;0;;;Набора не было;Набора не было;##;0;10;;##;5;256 400;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Программа направлена на подготовку студентов, получающих образование в сфере вокала. В рамках учебы студенты учатся нотной грамоте, совершенствуются в вокале. Учащиеся знакомятся с последними шедеврами мира искусства. Наряду с профессиональными дисциплинами изучаются гуманитарные науки, такие как: история, культурология, иностранные языки.;"Авангардный певец; артист эстрады; вокалист; преподаватель в музыкальной школе; хоровой вокалист";г. Санкт-Петербург, 21-я линия В.О., д. 2;;45;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Исполнение сольной программы;Основы актерского мастерства;Теория музыки и сольфеджио;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Театральное искусство и режиссура;52.05.01 Актерское искусство;200443;Артист драматического театра и кино;Факультет искусств;Да;;;;0;20;;;4;;;0;0;;;;0;0;;;Набора не было;Набора не было;320;0;19;;1,36;4;209 700;Набора не было;0;0;;;Набора не было;0;0;;;Набора не было;Набора не было;##;0;15;;##;4;201 100;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Учебная программа нацелена на подготовку специалистов в сфере актерского искусства. Студенты учатся создавать сценические образы, грамотно, красиво и эмоционально говорить, управлять голосом и добиваться поставленных режиссёром целей. Учащиеся осваивают навык танца, навык исполнения музыкальных произведений. Преимуществом является формирование профессионального поведения в работе перед кино- и телекамерами в студии. Есть возможность проходить практику в крупных театрах России.;"Актер; теле- и радио-ведущий; диктор";г. Санкт-Петербург, 21-я линия В.О., д. 2;;45;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Сценическая речь;Сценическая пластика и вокал;Мастерство актера;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Дизайн и изобразительное искусство;54.03.02 Декоративно-прикладное искусство и народные промыслы;200460;Декоративно-прикладное искусство;Факультет искусств;Да;;;;0;5;;;4;;;0;0;;;;0;0;;;Набора не было;Набора не было;433;0;5;;;4;203 100;Набора не было;0;0;;;Набора не было;0;0;;;Набора не было;Набора не было;Набора не было;0;0;;;;292 000;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты изучают историю культуры, историю искусства. Также студенты учатся работать с самыми разными материалами, воплощая свои задумки. Учащиеся получают навык реставрации и оценки культурных объектов. Дополнительно студенты формируют навык презентации и проектной деятельности.;"Декоратор; дизайнер изделий из металла; зодчи; изготовитель художественных изделий из разных материалов; иконописец ; кузнец; реставратор; скульптор; художник; ювелир";г. Санкт-Петербург, 21-я линия В.О., д. 2;;45;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Живопись;Рисунок;Композиция;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Дизайн и изобразительное искусство;54.05.03 Графика;200565;Художник мультипликационного фильма;Факультет искусств;Нет;;;;0;0;;;;;;0;0;;;;0;0;;;434;424;296;5;17;6;1,35;5;241 900;Набора не было;0;0;;;Набора не было;0;0;;;Набора не было;Набора не было;Набора не было;0;0;;;;;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты знакомятся с принципами создания творческих идей и способами их фиксации различными средствами художественных композиций, ​учатся разрабатывать дизайн-проекты с учетом комплекса различных требований, учатся методам проектирования, принципам организации, ведения проекта, выполнения дизайн-проекта под ключ и осваивают навыки​ ​3D моделирования и digital-Art.;Декоратор, мультипликатор, художник, художник анимации, художник-бутафор, художник-график, художник-иллюстратор, художник-оформитель, художник-плакатист;г. Санкт-Петербург, 21-я линия В.О., д. 2;;45;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Живопись;Рисунок;Композиция;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Дизайн и изобразительное искусство;54.03.01 Дизайн;200458;Графический дизайн;Факультет искусств;Да;;;;3;7;;;4;;;0;0;;;;0;0;;;444;393;328;5;4;1,8;1,5;4;304 600;Набора не было;0;0;;;Набора не было;0;0;;;;##;##;4;10;##;##;4;292 000;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;В рамках программы студенты осваивают графические программы и другие технологичные способы реализовывать деятельность. Учащиеся формируют умение преобразовывать идею в ее графическое воплощение. Преподаются такие дисциплины, как: рисунок, живопись, история, IT-технологии, что позволяет будущим профессионалам комплексно развиваться.;"Бренд-дизайнер; web-дизаунер; дизайнер компьютерных игр; дизайнер упаковки;";г. Санкт-Петербург, 21-я линия В.О., д. 2;;45;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Композиция;Рисунок;Живопись;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Дизайн и изобразительное искусство;54.03.01 Дизайн;200461;Дизайн среды;Факультет искусств;Да;;;;3;7;;;4;;;0;0;;;;0;0;;;432;;309;5;2;3;3;4;304 600;Набора не было;0;0;;;Набора не было;0;0;;;Набора не было;##;##;4;10;##;##;4;292 000;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;В рамках программы студенты овладевают навыками проектирования ландшафта, навыками живописи и рисунка, также изучают углубленные гуманитарные дисциплины.;"Архитектор; архитектор-градостроитель; ландшафтный дизайнер; дизайнер интерьера; дизайнер компьютерных игр";г. Санкт-Петербург, 21-я линия В.О., д. 2;;45;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Композиция;Рисунок;Живопись;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Музыкальное искусство и пение;53.03.02 Музыкально-инструментальное искусство;200469;Инструментальное исполнительство на органе, клавесине, карильоне;Факультет искусств;Да;;;;0;5;;;4;;;0;0;;;;0;0;;;Набора не было;Набора не было;Набора не было;0;5;;;4;203 100;Набора не было;0;0;;;Набора не было;0;0;;;Набора не было;Набора не было;Набора не было;0;0;;;4;;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Выпускники этого профиля в будущем будут исполнять сольные концертные программы, состоящие из классических и современных музыкальных произведений, на избранном инструменте. Играть партию своего инструмента в составе ансамбля или оркестра. Кроме того, им важно уметь аккомпанировать с транспонированием в другие тональности несложные произведения вокальной и инструментальной литературы. А также свободно читать с листа партии различной сложности для своего инструмента, а также ансамблевые и оркестровые партии.;Артист ансамбля, артист оркестра, преподаватель;г. Санкт-Петербург, 21-я линия В.О., д. 2;;45;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Исполнение сольной программы;Сольфеджио;Гармония;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Музыкальное искусство и пение;53.03.02 Музыкально-инструментальное искусство;208812;Инструментальное исполнительство на скрипке;Факультет искусств;Да;;;;0;5;;;4;;;0;0;;;;0;0;;;Набора не было;Набора не было;Набора не было;0;0;;;;;Набора не было;0;0;;;Набора не было;0;0;;;Набора не было;Набора не было;Набора не было;0;0;;;4;;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Выпускники этого профиля в будущем будут исполнять сольные концертные программы, состоящие из классических и современных музыкальных произведений, на избранном инструменте. Играть партию своего инструмента в составе ансамбля или оркестра. Кроме того, им важно уметь аккомпанировать с транспонированием в другие тональности несложные произведения вокальной и инструментальной литературы. А также свободно читать с листа партии различной сложности для своего инструмента, а также ансамблевые и оркестровые партии.;Артист ансамбля, артист оркестра, преподаватель;г. Санкт-Петербург, 21-я линия В.О., д. 2;;45;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Исполнение сольной программы;Сольфеджио;Гармония;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Физическая культура;49.03.01 Физическая культура;200557;Физическая культура и спорт;Кафедра физической культуры и спорта;Да;;;;11;10;;;4;;;0;0;;;;0;0;;;247;247;194;10;3;4,6;3,4;4;208 700;Набора не было;0;0;;;Набора не было;0;0;;;Набора не было;Набора не было;Набора не было;0;0;;;4;;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;В рамках программы студенты учатся проводить тренировочные занятия по какому-либо виду спорта в детско-юношеском спорте и со спортсменами массовых разрядов, разрабатывать учебные планы и программы занятий, а также проводить научные исследования по определению эффективности различных сторон деятельности в сфере физической культуры и спорта.;Учитель физической культуры, тренер спортивной команды, инструктор по туризму, тренер, спортивный инструктор, организатор досуга и активного отдыха, учитель основ безопасности жизнедеятельности, организатор детского и подросткового физкультурного движения, методист по организации физкультурной и спортивной деятельности;г. Санкт-Петербург, Университетская наб., д. 7-9-11, лит. «О»;;55;;40;;;;;;;;0;1;0;2;0;0;0;0;0;0;0;Тест по ОФП;Собеседование;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Дизайн и изобразительное искусство;54.05.02 Живопись;208819;Станковая живопись;Факультет искусств;Да;;;;0;5;;;4;;;0;0;;;;0;0;;;Набора не было;Набора не было;Набора не было;0;0;;;;;Набора не было;0;0;;;Набора не было;0;0;;;##;;##;3;7;##;##;5;284 400;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты учатся делать графику для фильмов и видеороликов. Для этого они знакомятся с основами профессии художника кино, изучают особенности творческого и технологического процесса работы художника на разных этапах создания фильма. Студенты перенимают мастерство профессии в творческих мастерских у опытных художников. Плюсом является то, что учащиеся могут самостоятельно анализировать сценарии кинопродуктов и пытаются передать характера драматургии средствами графики или живописи.;Художник кинематографа, декоратор, видеомонтажёр, мультипликатор;г. Санкт-Петербург, 21-я линия В.О., д. 2;;45;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Живопись;Рисунок;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Дизайн и изобразительное искусство;54.05.02 Живопись;200564;Художник кино и телевидения по костюму;Факультет искусств;Да;;;;5;5;;;4;;;0;0;;;;0;0;;;Набора не было;Набора не было;Набора не было;0;0;;;;;Набора не было;0;0;;;Набора не было;0;0;;;##;;##;3;7;##;##;5;284 400;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студенты учатся делать графику для фильмов и видеороликов. Для этого они знакомятся с основами профессии художника кино, изучают особенности творческого и технологического процесса работы художника на разных этапах создания фильма. Студенты перенимают мастерство профессии в творческих мастерских у опытных художников. Плюсом является то, что учащиеся могут самостоятельно анализировать сценарии кинопродуктов и пытаются передать характера драматургии средствами графики или живописи.;Художник кинематографа, декоратор, видеомонтажёр, мультипликатор;г. Санкт-Петербург, 21-я линия В.О., д. 2;;45;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Живопись;Рисунок;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Дизайн и изобразительное искусство;54.03.04 Реставрация;200538;Реставрация произведений изобразительного и декоративно-прикладного искусства;Факультет искусств;Да;;;;6;4;;;4;;;0;0;;;;0;0;;;343;336;241;6;3;4,3;2,3;4;216 600;Набора не было;0;0;;;Набора не было;0;0;;;##;##;##;6;10;##;##;4;207 700;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Программа направлена на подготовку специалистов в области реставрации. Студенты осваивают методы реставрационной работы и проектирования, а также изучают вопросы охраны и менеджмента культурного наследия. Учащиеся учатся работать с новейшими технологиями. Преимущество является всестороннее изучение основных предметов.;"Антиквар; архитектор-реставратор; культуролог; искусствовед; художник по костюму; реставратор памятников";г. Санкт-Петербург, 21-я линия В.О., д. 2;;45;;;;;;;40;;;0;1;0;0;0;0;0;0;2;0;0;Живопись;Рисунок;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;СМИ и издательское дело;42.03.02 Журналистика;200464;Журналистика;Институт «Высшая школа журналистики и массовых коммуникаций»;Да;;;;10;75;;;4;;;20;40;5;;;0;0;;;293;293;225;15;73;37,06;3,89;4;245 900;280;20;35;5;145 600;Набора не было;0;0;;;##;##;##;15;50;##;##;4;235 800;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Программа направлена на подготовку специалистов в сфере СМИ. Студенты обучаются нескольким иностранным языкам, осваивают навыки стилистического письма, анализа данных, а также навыки перевода. Преимуществом является возможность практики в ведущих вузах мира.;"Digital-стратег; диктор; выпускающий редактор; smm-менеджер; журналист; корреспондент; медиапланер; пресс-секретарь; репортер";г. Санкт-Петербург, 1-я линия В.О., д. 26;;55;;;;;;;55;;;0;2;0;0;0;0;0;0;1;0;0;Творческий конкурс;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;СМИ и издательское дело;42.03.02 Журналистика;200502;Международная журналистика;Институт «Высшая школа журналистики и массовых коммуникаций»;Да;;;;10;75;;;4;;;0;0;;;;0;0;;;293;293;224;10;75;42,1;2,9;4;250 400;Набора не было;0;0;;;Набора не было;0;0;;;Набора не было;##;##;10;65;##;##;4;240 100;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Программа направлена на подготовку специалистов в сфере СМИ. Студенты обучаются нескольким иностранным языкам, осваивают навыки стилистического письма, анализа данных, а также навыки перевода. Особое внимание уделяется изучению культуры разных стран и народов в целях развития навыки межкультурных коммуникаций. Преимуществом является возможность практики в ведущих вузах мира.;"Digital-стратег; диктор; выпускающий редактор; smm-менеджер; журналист; корреспондент; медиапланер; пресс-секретарь; репортер";г. Санкт-Петербург, 1-я линия В.О., д. 26;;55;;;;;;;55;;;0;2;0;0;0;0;0;0;1;0;0;Творческий конкурс;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Науки о Земле;05.03.02 География;200454;География;Институт наук о Земле;Да;;;;40;5;;;4;;;0;0;;;;0;0;;;249;246;;40;1;4,32;12;4;242 500;Набора не было;0;0;;;Набора не было;0;0;;;##;##;;40;5;##;##;4;232 500;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Учебная деятельность направлена на освоение теоретической базы и на применение полученных знаний на практике. Студенты участвуют в полевых и экологических экспедициях, выполняют проекты охраняемых природных территорий и участвуют в градостроительном и ландшафтном планировании. Помимо этого, учащиеся приобретают навык оценки туристско-рекреационных возможностей территории, навык мониторинга демографических, миграционных и этнокультурных процессов. Есть возможность заниматься собственными научным исследованиями на базе вуза уже во время учебы.;"Биогеограф; географ; геоморфолог; геодезист; климатолог; палеонтолог; регионовед; топограф; специалист по туризму";г. Санкт-Петербург, Университетская наб., д. 7-9;55;55;;;;;;;;;55;1;1;0;0;0;0;0;0;0;0;2;;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Природные ресурсы и технологии;05.03.04 Гидрометеорология;200456;Гидрометеорология;Институт наук о Земле;Да;;;;15;5;;;4;;;0;0;;;;0;0;;;247;244;239;15;1;9,8;14;4;240 300;Набора не было;0;0;;;Набора не было;0;0;;;##;##;##;15;5;##;##;4;230 400;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Программа направлена на подготовку специалистов в сфере гидрометеорологии. Студенты получают большой объем прикладных навыков. Во время учебы практическая программа построена так, чтобы охватить исследование многих точек России. Особым преимущество является возможность развиваться в научно-исследовательской сферы.;"Климатолог; метеоролог; инженер-метеоролог; синоптик";г. Санкт-Петербург, Университетская наб., д. 7-9;55;55;;;;;;;;;55;1;1;0;0;0;0;0;0;0;0;2;;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Природные ресурсы и технологии;05.03.06 Экология и природопользование;200568;Экология и природопользование;Институт наук о Земле;Да;;;;20;5;;;4;;;0;0;;;;0;0;;;255;251;;20;1;8,2;13;4;264 000;Набора не было;0;0;;;Набора не было;0;0;;;##;##;##;20;5;##;##;4;253 100;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Программа направлена на подготовку высококвалифицированных специалистов в области экологии. Студенты получают фундаментальное образование экологических и биологических дисциплиною Каждый учащийся имеет возможность пройти практику как в России, так и за границей. Важным преимуществом является то, что студенты учатся решать реальные проблемы экологии, которые стоят перед человечеством сегодня.;"Агроэколог; геоэколог; эколог-инспектор; научный редактор; биоэколог; эколог";г. Санкт-Петербург, Университетская наб., д. 7-9;55;55;;;;;;;;;55;1;1;0;0;0;0;0;0;0;0;2;;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Науки о Земле;05.03.03 Картография и геоинформатика;200485;Картография и геоинформатика;Институт наук о Земле;Да;;;;15;5;;;4;;;0;0;;;;0;0;;;258;251;;15;1;7;5;4;240 300;Набора не было;0;0;;;Набора не было;0;0;;;##;##;;15;5;##;##;4;230 400;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Программа готовит специалистов в сфере картографии и геоинформатики. Студенты получают прикладное образование и овладевают навыками работы с геодезическим оборудованием и специализированным программным обеспечением. Они учатся обрабатывать данные о дистанционном зондировании Земли, при создании карт и атласов и геоинформационных систем. Есть возможность принять участие в создании новых технологий в области картографии, геоинформатики и аэрокосмических методов.;"Геодезист; географ; геолог; топограф; геоинформатик";г. Санкт-Петербург, Университетская наб., д. 7-9;55;55;;;;;;;;;55;1;1;0;0;0;0;0;0;0;0;2;;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Математические науки;01.03.01 Математика;200689;Математика;Математико-механический факультет;Да;;;;55;7;;;4;;;0;0;;;;0;0;;;;;211;55;10;4,32;4,1;4;267 400;Набора не было;0;0;;;Набора не было;0;0;;;;;##;50;5;##;##;4;256 400;Набора не было;0;0;;;Набора не было;0;0;;;##;Набора не было;##;;;41;1;;;;;;;;;;;;;;##;;;;;;;;;;;;;;;;;;"Программа направлена на подготовку специалистов в области математики и информатики. Помимо этого, студенты приобретают: навык многопрофильного анализа; IT-программирования;";"Актуарий; аналитик; инженер по сопровождению программного обеспечения; инженер-математик; специалист по защите информации; экономист-кибернетик";г. Санкт-Петербург, ул. Смольного, д. 1/3;75;55;;;;;;;;75;;2;1;0;0;0;0;0;0;0;1;0;;;;;;;;3;1;6;0;0;
г. Санкт-Петербург;0012;СПбГУ;Компьютерные и информационные науки;09.03.03 Прикладная информатика;200527;Прикладная информатика в области искусств и гуманитарных наук;Факультет искусств;Да;;;;10;5;;;4;;;0;0;;;;0;0;;;280;277;228;10;1;25;17,5;4;308 000;Набора не было;0;0;;;Набора не было;0;0;;;##;##;##;10;5;##;##;4;295 300;Набора не было;0;0;;;Набора не было;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Программа направлена на подготовку специалистов в области прикладной информатики в области искусств и гуманитарных наук. Программа сочетает в себе изучение иностранных языков, методов анализа лингвистической информации, а также информационных технологий и способах обработки данных. Преимуществом является широкий диапазон возможностей профессионального развития уже на этапе обучения.;"Web-дизайнер; web-программист; режиссер видеомонтажа; специалист по математическому моделированию; разработчик компьютерных игр";г. Санкт-Петербург, 21-я линия В.О., д. 2;55;55;;;;;;;;55;;2;1;0;0;0;0;0;0;0;1;0;;;;;;;;3;1;6;0;0;
